SPECIES	Longitude	Latitude
Amphilophium racemosum 	-73.7500	-4.9160
Amphilophium racemosum 	-73.2470	-3.7480
Amphilophium racemosum 	-73.5000	-3.8333
Amphilophium racemosum 	-70.5000	-3.9160
Amphilophium racemosum 	-69.9950	-4.3100
Amphilophium racemosum 	-73.2340	-3.7480
Amphilophium racemosum 	-73.0600	-3.4670
Amphilophium racemosum 	-74.3630	-5.7660
Amphilophium racemosum 	-72.7770	-3.4360
Amphilophium racemosum 	-73.1910	-3.7880
Amphilophium racemosum 	-72.6840	-3.3420
Amphilophium racemosum 	-76.5830	-7.0580
Amphilophium racemosum 	-76.4000	-2.9000
Amphilophium racemosum 	-76.2160	-6.0000
Amphilophium racemosum 	-73.4160	-3.8000
Amphilophium racemosum 	-74.7500	-11.0000
Amphilophium racemosum 	-74.9620	-9.3680
Amphilophium racemosum 	-74.9333	-9.6167
Amphilophium racemosum 	-59.5660	5.0000
Amphilophium racemosum 	-58.2500	6.2660
Amphilophium racemosum 	-60.6000	5.8667
Amphilophium racemosum 	-60.1160	6.0830
Amphilophium racemosum 	-54.0000	5.4160
Amphilophium racemosum 	-53.1660	5.0000
Amphilophium racemosum 	-53.8500	5.5660
Amphilophium racemosum 	-52.1333	4.3167
Amphilophium racemosum 	-52.6000	4.9000
Amphilophium racemosum 	-52.3333	4.8500
Amphilophium racemosum 	-52.7167	5.0667
Amphilophium racemosum 	-52.3330	4.8330
Amphilophium racemosum 	-52.4667	3.2167
Amphilophium racemosum 	-52.7000	4.0500
Amphilophium racemosum 	-78.3330	-3.3660
Amphilophium racemosum 	-76.7000	-0.0330
Amphilophium racemosum 	-76.8660	-0.6660
Amphilophium racemosum 	-76.0830	-0.8660
Amphilophium racemosum 	-76.4000	-0.6833
Amphilophium racemosum 	-76.2000	-0.9833
Amphilophium racemosum 	-66.8680	1.2220
Amphilophium racemosum 	-70.1630	1.1980
Amphilophium racemosum 	-73.3020	6.3500
Amphilophium racemosum 	-73.9140	6.6180
