"","Consensus_area","Bioregion","Ub","Uc"
"1","D1CA0","Neotropical region","1.0736","77.3469"
"2","D1CA0","Chacoan subregion","2.7238","77.3469"
"3","D1CA0","Chacoan dominion","0.1141","2.2097"
"4","D1CA0","Parana dominion","14.6009","75.1372"
"5","D1CA0","Cerrado province","0.2914","2.2097"
"6","D1CA0","Atlantic province","27.1791","32.1063"
"7","D1CA0","Parana Forest province","13.4926","43.1571"
"8","D1CA1","Neotropical region","1.0851","62.2343"
"9","D1CA1","Chacoan subregion","2.753","62.2343"
"10","D1CA1","Chacoan dominion","0.028","0.4316"
"11","D1CA1","Parana dominion","15.0861","61.8027"
"12","D1CA1","Cerrado province","0.0715","0.4316"
"13","D1CA1","Atlantic province","29.1208","27.3849"
"14","D1CA1","Parana Forest province","13.5168","34.4177"
"15","D1CA2","Neotropical region","1.339","99.9427"
"16","D1CA2","Brazilian subregion","2.7634","99.9427"
"17","D1CA2","Pacific dominion","2.2085","12.9931"
"18","D1CA2","Boreal Brazilian dominion","6.5011","86.9495"
"19","D1CA2","Sabana province","7.1622","12.9931"
"20","D1CA2","Pantepui province","21.4622","46.2758"
"21","D1CA2","Imerí province","9.9746","40.6804"
"22","D1CA3","Neotropical region","0.4131","73.8296"
"23","D1CA3","Chacoan subregion","1.0481","73.8296"
"24","D1CA3","Chacoan dominion","0.0071","0.343"
"25","D1CA3","Parana dominion","5.7566","73.4866"
"26","D1CA3","Cerrado province","0.0182","0.343"
"27","D1CA3","Atlantic province","10.4519","30.6278"
"28","D1CA3","Parana Forest province","5.4016","42.8588"
"29","D1CA4","Neotropical region","0.4558","99.9188"
"30","D1CA4","Chacoan subregion","1.1563","99.9188"
"31","D1CA4","Chacoan dominion","1.1349","66.9082"
"32","D1CA4","Parana dominion","2.1124","33.08"
"33","D1CA4","Caatinga province","7.3028","65.8997"
"34","D1CA4","Cerrado province","0.0437","1.0084"
"35","D1CA4","Parana Forest province","3.3986","33.08"
"36","D1CA5","Neotropical region","0.4423","64.6395"
"37","D1CA5","Chacoan subregion","1.1223","64.6395"
"38","D1CA5","Parana dominion","6.1928","64.6395"
"39","D1CA5","Atlantic province","14.9544","35.8309"
"40","D1CA5","Parana Forest province","4.4405","28.8086"
"41","D1CA6","Neotropical region","0.7742","68.0111"
"42","D1CA6","Brazilian subregion","1.5978","68.0111"
"43","D1CA6","Boreal Brazilian dominion","4.3206","68.0111"
"44","D1CA6","Roraima province","0.012","0.0349"
"45","D1CA6","Guianan Lowlands province","27.1013","67.9762"
"46","D1CA7","Neotropical region","0.4696","100"
"47","D1CA7","Brazilian subregion","0.9691","100"
"48","D1CA7","Boreal Brazilian dominion","1.7083","65.1879"
"49","D1CA7","South Brazilian dominion","0.9196","34.8121"
"50","D1CA7","Roraima province","7.8902","55.5477"
"51","D1CA7","Madeira province","2.1019","34.8121"
"52","D1CA7","Imerí province","0.8284","9.6403"
"53","D1CA8","Neotropical region","0.4264","67.05"
"54","D1CA8","Chacoan subregion","1.0817","67.05"
"55","D1CA8","Parana dominion","5.9691","67.05"
"56","D1CA8","Atlantic province","18.0175","46.4581"
"57","D1CA8","Parana Forest province","2.9889","20.8682"
"58","D1CA9","Neotropical region","1.4305","97.9142"
"59","D1CA9","Chacoan subregion","3.6292","97.9142"
"60","D1CA9","Chacoan dominion","0.6375","11.7331"
"61","D1CA9","Parana dominion","17.6277","86.1863"
"62","D1CA9","Cerrado province","1.6286","11.7331"
"63","D1CA9","Atlantic province","20.8449","23.3949"
"64","D1CA9","Parana Forest province","20.7019","62.9119"
"65","D2CA0","Neotropical region","14.1009","75.2268"
"66","D2CA0","Chacoan subregion","33.5724","70.5955"
"67","D2CA0","Brazilian subregion","1.7916","4.6315"
"68","D2CA0","Chacoan dominion","35.8382","51.4116"
"69","D2CA0","Boreal Brazilian dominion","4.8448","4.6315"
"70","D2CA0","Parana dominion","50.0691","19.0798"
"71","D2CA0","South-eastern Amazonian dominion","0.3742","0.1075"
"72","D2CA0","Caatinga province","100","21.9586"
"73","D2CA0","Cerrado province","52.453","29.4531"
"74","D2CA0","Pará province","44.557","4.6315"
"75","D2CA0","Araucaria Forest province","0.4028","0.0229"
"76","D2CA0","Xingu-Tapajós province","0.3742","0.1075"
"77","D2CA0","Atlantic province","87.5428","7.6578"
"78","D2CA0","Parana Forest province","48.1672","11.4087"
"79","D2CA1","Neotropical region","1.5842","67.7916"
"80","D2CA1","Chacoan subregion","4.0193","67.7916"
"81","D2CA1","Chacoan dominion","2.571","29.5836"
"82","D2CA1","Parana dominion","12.5038","38.2185"
"83","D2CA1","Caatinga province","14.6639","25.8275"
"84","D2CA1","Cerrado province","0.834","3.7561"
"85","D2CA1","Atlantic province","22.0424","15.4657"
"86","D2CA1","Parana Forest province","11.977","22.7541"
"87","D2CA10","Neotropical region","10.7643","84.3942"
"88","D2CA10","Chacoan subregion","25.9395","80.1593"
"89","D2CA10","Brazilian subregion","1.1147","4.2348"
"90","D2CA10","Chacoan dominion","26.7742","56.4457"
"91","D2CA10","Boreal Brazilian dominion","3.0144","4.2348"
